Time,Speed,Throttle,Brake,RPM,nGear,DRS,X,Y
0 days 00:00:00,284.41250026666665,100.0,False,11271.212513066666,7,0,-382.2566464897168,1221.0306607665132
0 days 00:00:00.062000,284.67083306666666,100.0,False,11283.870820266668,7,0,-380.0,1270.0
0 days 00:00:00.141000,285.0,100.0,False,11300.0,7,0,-377.2342360024864,1332.4936382225653
0 days 00:00:00.262000,285.86428525714285,100.0,False,11338.460693942858,7,0,-373.0,1429.0
0 days 00:00:00.421000,287.0,100.0,False,11389.0,7,0,-366.8150262153605,1558.8049991108694
0 days 00:00:00.582000,287.67083306666666,100.0,False,11421.870820266668,7,0,-360.0,1700.0
0 days 00:00:00.661000,288.0,100.0,False,11438.0,7,0,-356.5208283663488,1775.2038467437574
0 days 00:00:00.821000,290.0,100.0,False,11500.0,7,0,-349.3711088414823,1935.5593350852398
0 days 00:00:00.942000,290.3361109333333,100.0,False,11509.411106133333,7,0,-345.0,2038.0
0 days 00:00:01.181000,291.0,100.0,False,11528.0,7,0,-339.89679575072506,2171.714386678323
0 days 00:00:01.382000,292.1166663111111,100.0,False,10914.391862044444,7,0,-334.0,2330.0
0 days 00:00:01.541000,293.0,100.0,False,10429.0,7,0,-325.98091962490844,2533.238756758106
0 days 00:00:01.562000,293.1312496,100.0,False,10438.9749696,7,0,-325.0,2557.0
0 days 00:00:01.701000,294.0,100.0,False,10505.0,8,0,-319.7547667281374,2674.5133295180563
0 days 00:00:01.982000,294.8781248,100.0,False,10526.95312,8,0,-312.0,2819.0
0 days 00:00:02.021000,295.0,100.0,False,10530.0,8,0,-310.61633015152717,2848.2442864879345
0 days 00:00:02.142000,295.60499968,100.0,False,10545.124992,8,0,-306.0,2950.0
0 days 00:00:02.382000,296.80499968,100.0,False,10575.124992,8,0,-297.0,3154.0
0 days 00:00:02.421000,297.0,100.0,False,10580.0,8,0,-295.33971157802637,3189.4767320718347
0 days 00:00:02.543000,297.0,100.0,False,10590.6749888,8,0,-290.0,3302.0
0 days 00:00:02.581000,297.0,100.0,False,10594.0,8,0,-288.48680483566966,3335.236185808628
0 days 00:00:02.781000,298.0,100.0,False,10621.0,8,0,-281.6860555454691,3498.844016422412
0 days 00:00:02.803000,298.0916672,100.0,False,10625.8583616,8,0,-281.0,3517.0
0 days 00:00:03.021000,299.0,100.0,False,10674.0,8,0,-274.61548011950356,3698.818544475466
0 days 00:00:03.043000,299.11000064,100.0,False,10674.8250048,8,0,-274.0,3716.0
0 days 00:00:03.223000,300.00999936,100.0,False,10681.5749952,8,0,-269.0,3849.0
0 days 00:00:03.383000,300.80999936,100.0,False,10687.5749952,8,0,-264.0,3982.0
0 days 00:00:03.421000,301.0,100.0,False,10689.0,8,0,-262.64162961984204,4019.0505555479203
0 days 00:00:03.661000,302.0,100.0,False,10752.0,8,0,-253.30134367907243,4279.756179356832
0 days 00:00:03.703000,302.0,100.0,False,10755.4124896,8,0,-252.0,4316.0
0 days 00:00:03.981000,302.0,100.0,False,10778.0,8,0,-246.04491818970584,4482.664733664977
